tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Bastianoni, Curzio - Catoni, Giuliano;;Studenti, tipografi e librai a Siena fra repubblica e principato;Ascheri, Mario;a cura di;Lo Studio e i testi. Il libro universitario a Siena, secoli XII-XVII. Siena, Biblioteca comunale, 14 settembre - 31 ottobre 1996. Catalogo della mostra;Siena ;Protagon;1996;;;;;183-190
articolo in volume miscellaneo;Maleczek, Werner ;;Studenti tedeschi nelle Università italiane;De Rachewiltz, Siegfried-Riedmann, Josef;a cura di;Comunicazione e mobiltà nel Medioevo. Incontri fra il Sud e il Centro dell'Europa (secoli XI-XIV);Bologna;Il Mulino;1997;;;;;135-167
monografia;;;;Giorgi, Piero P. - Pasini, Gian Franco;a cura di;Consilia di Taddeo Alderotti, XIII secolo;Bologna;Istituto per la storia dell'Università di Bologna;1997;;;;;612
articolo in volume miscellaneo;Quaglioni, Diego;;"Gli ebrei nei ""consilia"" del Quattrocento veneto";Baumgartner, Ingrid;a cura di;Consilia im späten Mittelalter. Zum historischen Aussagewert einer Quellengattung;Sigmaringen;Jan Thorbecke;1995;;;;;189-204
articolo in volume miscellaneo;Marrara, Danilo;;Antonio Marongiu storico delle università;Corciulo, Maria Sofia;a cura di;Contributi alla storia parlamentare europea (secoli XIII-XX). Atti del 43° Congresso ICHRPI;Camerino;Centro interdipartimentale audiovisivi e stampa dell'Università degli Studi di Camerino;1996;;;;;66-74
articolo in rivista;Del Negro, Piero;;Alcune note su Gian Rinaldo Carli tra Padova e Venezia;;;;;;1997;;«Acta Histriae»;5;;135-156
articolo in volume miscellaneo;Poppi, Antonino;;L’aristotelismo negli anni del soggiorno padovano di Niccolò Copernico;;;"Copernico a Padova. Atti della giornata copernicana nel 450° della pubblicazione del ""De revolutionibus orbium coelestium"" (Padova, 10 dicembre 1993)";Padova;Cleup;1995;;;;;49-76
articolo in volume miscellaneo;Premuda, Loris;;Niccolò Copernico studente di medicina a Padova e medico;;;"Copernico a Padova. Atti della giornata copernicana nel 450 della pubblicazione del ""De revolutionibus orbium coelestium"". Padova, 10 dicembre 1993)";Padova;Cleup;1995;;;;;151-163
articolo in volume miscellaneo;Poppi, Antonino;;La filosofia naturale del primo Cinquecento nelle Università di Padova, Bologna e Ferrara;Pepe, Luigi;a cura di;Copernico e la questione copernicana in Italia dal XVI al XIX secolo;Firenze;Olschki;1996;;;;;39-67
monografia;;;;Franciosi, Gennaro;;Corso istituzionale di Diritto romano;Torino;Giappichelli;1994;;;;;419
monografia;;;;Romani, Marzio Achille;;Costruire le istituzioni. Leopoldo Sabbatini (1860-1914);Soveria Mannelli;Rubbettino;1997;;;;;350
monografia;;;;Poppi, Antonino;;Cremonini, Galilei e gli inquisitori del Santo a Padova;Padova;Centro studi antoniani;1993;;;;;128
articolo in volume miscellaneo;Malusa, Luciano;;La militanza filosofica;Confraternita di San Giovanni dei genovesi di Roma;a cura di;Cristoforo Bonavino prete genovese, filosofo, apostata, penitente, apologeta: nel centenario della morte (1895-1995);Roma;Tipografia Brasini;1995;;;;;49-67
articolo in volume miscellaneo;Gozza, Paolo;;Una matematica media gesuita: la musica di Descartes;Baldini, Ugo;a cura di;Christoph Clavius e l'attività scientifica dei Gesuiti nell'età di Galileo. Atti del convegno internazionale (Chieti, 28-30 aprile 1993);Roma;Bulzoni;1995;;;;;171-188
articolo in volume miscellaneo;Catoni, Giuliano;;Le Accademie senesi e lo Studio cittadino dal XVI al XVIII secolo;Baccetti, Baccio;a cura di;Cultura e Università a Siena. Epoche, argomenti, protagonisti;Siena;Nuova Immagine;1993;;;;;35-41
articolo in volume miscellaneo;Vannozzi, Francesca;;Achille Sclavo;Baccetti, Baccio;a cura di;Cultura e Università a Siena. Epoche, argomenti, protagonisti;Siena;Nuova Immagine;1993;;;;;215-221
articolo in volume miscellaneo;Minnucci, Giovanni ;;Siena e l’Europa. Studenti stranieri a Siena fra XV e XVII secolo  ;Baccetti, Baccio;a cura di;Cultura e Università a Siena. Epoche, argomenti, protagonisti;Siena;Nuova Immagine;1993;;;;;27-34
poligrafia;;;;Baccetti, Baccio;a cura di;Cultura e Università a Siena. Epoche, argomenti, protagonisti;Siena;Nuova Immagine;1993;;;;;278
articolo in volume miscellaneo;Finzi, Roberto;;Leggi razziali e politica accademica: il caso di Bologna;Di Meo, Antonio;a cura di;Cultura ebraica e cultura scientifica in Italia;Roma;Editori Riuniti;1994;;;;;157-172
articolo in volume miscellaneo;Tonietti, Tito M.;;Pisa-Como: andata e ritorno (Volterra, Waddington Thom);Cerrai, Paola - Galleni, Lodovico;a cura di;Da Pisa a Como e ritorno. Atti del primo Incontro di biologia teorica, Pisa, febbraio 1995;Pisa;SEU;1996;;;;;57-74
monografia;;;;Lama, Luisa ;;Da un secolo all’altro. Profilo biografico e scritti di Alessandro Ghigi, 1875-1970  ;Bologna;Clueb;1993;;;;;306
monografia;;;;Romano, Andrea;a cura di;Dagli annuari della Università di Messina per l'anno accademico 1928-1929, CCCLXXIX dalla fondazione, e per l'anno accademico 1929-1930, CCCLXXX dalla fondazione;Messina;Presso l'Ateneo;1996;;;;;294
articolo in volume miscellaneo;Giacardi, Livia - Roero, Clara Silvia;;La nascita della Mathesis (1895-1907);Giacardi, Livia - Roero, Clara Silvia;a cura di;Dal compasso al computer ;Torino;Associazione Subalpina Mathesis;1996;;;;;7-49
articolo in volume miscellaneo;Veggetti, Alba;;L’insegnamento della medicina veterinaria in Italia dalla fondazione delle Scuole allo Stato unitario;;;Dall’era della mascalcia alla medicina veterinaria: le scuole di veterinaria. Atti del convegno di storia della medicina veterinaria, Correggio (RE), Palazzo dei principi, 27 maggio 1995;Correggio;Cromotipografica;1995;;;;;23-34
articolo in volume miscellaneo;Moretti, Mauro - Porciani, Ilaria;;Il sistema universitario tra nazione e città: un campo di tensione ;Meriggi, Marco - Schiera, Pierangelo;a cura di;Dalla città alla nazione. Borghesie ottocentesche in Italia e in Germania ;Bologna;Il Mulino;1993;;;;;289-306
poligrafia;;;;Marcenaro, Anselmo - Tonizzi, Maria Elisabetta;a cura di ;Dalla Regia Scuola Superiore Navale alla Facoltà di Ingegneria, 1870-1935;Genova;Brigati;1997;;«Atti della Società Ligure di Storia Patria»;111;1;423
articolo in volume miscellaneo;Romani, Marzio Achille;;"All'origine dell'Università ""Luigi Bocconi""";;;Dalla Scuola superiore di commercio alla Facoltà di economia. Atti del convegno, Genova, 27 novembre 1992;Genova;ECIG Universitas;1994;;;;;111-120
articolo in volume miscellaneo;Rollandi, Maria Stella;;Dalla Scuola superiore di commercio di Genova alla Facoltà universitaria. Un esempio di collaborazione con la città (1886-1986);;;Dalla Scuola superiore di commercio alla Facoltà di economia. Atti del convegno, Genova, 27 novembre 1992;Genova;ECIG Universitas;1994;;;;;101-109
articolo in volume miscellaneo;Piola Caselli, Fausto;;La Scuola Superiore di Commercio di Roma (1906-1935) ;;;Dalla Scuola superiore di commercio alla Facoltà di economia. Atti del convegno, Genova, 27 novembre 1992;Genova;ECIG Universitas;1994;;;;;129-143
monografia;;;;Toniolo Fascione, Maria Claudia;;Dall'Università agli uffici. Percorsi professionali nelle aree periferiche della Toscana medicea;Napoli;Jovene;1996;;;;;173
articolo in volume miscellaneo;Battistini, Andrea;;Dal Caos al Cosmos: el saber enciclopédico de los jesuitas;Rodriguez Cuadros, Evangelina;a cura di;De las Academias a la enciclopedia: el discurso del saber en la modernidad;Valencia;Edicions Alfons el Magnanim;1993;;;;;301-332
articolo in volume miscellaneo;Pancaldi, Giuliano;;Le scienze della vita;Postigliola, Alberto;a cura di;Un decennio di storiografia italiana sul secolo XVIII. Atti del convegno organizzato dalla Società italiana di studi sul secolo XVIII e dall'Istituto italiano per gli studi filosofici con il patrocinio dell'Istituto dell'enciclopedia italiana (Vico Equense, 24-27 ottobre 1990);Napoli;Officina Tipografica;1995;;;;;343-353
monografia;;;;Galeani Napione, Gian Francesco;;Del modo di riordinare la regia Università degli studi;Torino;Deputazione subalpina di storia patria: Palazzo Carignano;1993;;;;;266
monografia;;;;Sohn, Andreas;;Deutsche Prokuratoren an der römischen Kurie in der Frührenaissance (1431-1474);Köln;Böhlau;1997;;;;;432
monografia;;;;Oswald, Stephan;;Die Natio Germanica. Fünfhundert Jahre deutsches Studentenleben in Bologna;Bologna;Tipografia Moderna;1996;;;;;178
articolo in volume miscellaneo;Sottili, Agostino;;Zum Verhältnis von Stadt, Staat und Universität in Italien im Zeitalter des Humanismus, dargestellt am Fall Pavia ;Patschovsky, Alexander-Rabe, Horst;a cura di;Die Universität in Alteuropa;Konstanz;UVK, Universitätsverlag Konstanz;1994;;;;;43-67
monografia;;;;Dröscher, Ariane;;Die Zellbiologie in Italien im 19. Jahrhundert;Halle;Deutsche Akademie der Naturforscher Leopoldina;1996;;;;;184
monografia;;;;Croce, Benedetto;;Dieci conversazioni con gli alunni dell'Istituto italiano per gli studi storici di Napoli;Bologna;Il Mulino;1993;;;;;175
articolo in volume miscellaneo;Poppi, Antonino;;Chiesa e Università;Gios, Pierantonio;a cura di;Diocesi di Padova;Padova;Gregoriana;1996;;;;;543-574
articolo in volume miscellaneo;Bernuzzi, Marco;;Gli studi ecclesiastici alla facoltà teologica di Pavia;Caprioli, Adriano-Rimoldi, Antonio-Vaccaro, Luciano ;a cura di;Diocesi di Pavia;Brescia;La Scuola;1995;;;;;349-366
articolo in volume miscellaneo;Brizzi, Gian Paolo;;Da domus pauperum scholarium a collegio d'educazione: università e collegi in Europa (secoli XII-XVIII);Prodi, Paolo - Penuti, Carla;a cura di;Disciplina dell’anima, disciplina del corpo e disciplina della società tra Medioevo ed età moderna;Bologna;Il Mulino;1994;;;;;809-840
monografia;;;;Brenta, Andrea;;Discorso sulle discipline per l'inaugurazione dell'anno accademico nello Studium Urbis;Roma;Roma nel Rinascimento;1995;;;;;162
articolo in volume miscellaneo;Tognotti, Eugenia;;Per una storia della Facoltà di medicina dell’Università di Sassari  ;;;Docenti, studenti e laureati della Facoltà di medicina e chirurgia dell'Università di Sassari, vol. I: 1765-1945;Sassari;TAS;1997;;;;;9-42
monografia;;;;Tamba, Giorgio;;Documentazione notarile e notai in Bologna. Tratti essenziali di due complesse vicende;Bologna;Lo Scarabeo;1996;;;;;65
poligrafia;;;;Sottili, Agostino;a cura di ;Documenti per la storia dell'università di Pavia nella seconda metà del '400, vol. I. 1450-1455;Bologna;Cisalpino;1994;;;;;225
articolo in volume miscellaneo;Roversi, Giancarlo;;Donne di penna (secc. XIV-XIX);Roversi, Giancarlo;a cura di;Donne celebri dell’Emilia Romagna e del Montefeltro: dal Medioevo all'Ottocento;Casalecchio di Reno;Grafis;1993;;;;;105-166
articolo in volume miscellaneo;Frova, Carla;;Per una storia delle istituzioni scolastiche sul territorio in età medievale;;;Economia, società e cultura nel Piemonte bassomedievale. Studi per Anna Maria Nada Patrone;Cavallermaggiore ;Gribaudo;1996;;;;;95-112
poligrafia;;;;Berselli, Aldo;a cura di;Editoria e Università a Bologna tra Ottocento e Novecento. Atti del 5° convegno, Bologna, 26-27 gennaio 1990;Bologna;Comune di Bologna - Istituto per la Storia di Bologna;1991;;;;;372 
monografia;;;;Ghizzoni, Carla;;"Educazione e scuola all'indomani della Grande guerra. Il contributo de ""La Civiltà Cattolica"" (1918-1931)";Brescia;La Scuola;1997;;;;;358
articolo in volume miscellaneo;De Vivo, Francesco;;"Un pedagogista ""minore"" dell’Ottocento: G.B. Talia";;;Educazione, scuola e formazione docente. Studi in onore di Enzo Petrini;Udine;Del Bianco;1994;;;;;75-90
articolo in volume miscellaneo;Genovese, Francesco Antonio;;"L’ordinamento giudiziario fra ""scienza"" e ""politica"" nelle enciclopedie giuridiche di fine Ottocento  ";Mazzacane, Aldo-Schiera, Pierangelo;a cura di;Enciclopedie e sapere scientifico. Il diritto e le scienze sociali nell’enciclopedia giuridica italiana;Bologna;Il Mulino;1990;;;;;253-279
articolo in rivista;Barbagli, Fausto - Violani, Carlo;;Gli studi sulla zoologia;;;Enrico Hillyer Giglioli: l’uomo, il naturalista, il viaggiatore. ;;;1996;;«L’Universo»;76;;634-653, 666-672
articolo in volume miscellaneo;Fanfani, Tommaso;;La Facoltà dalle origini alla fine degli anni Sessanta;;;Facoltà di Economia. Cinquant’anni di storia;Ospedaletto (Pisa);Pacini;1995;;;;;15-101
articolo in volume miscellaneo;Santini, Giovanni;;"I ""domini legum"" di Bologna nell’età di Federico II. Tendenze di scuola e diaspora bolognese nello specchio dei Libri magistrorum ";;;Federico II e Bologna;Bologna;Deputazione di Storia Patria per le Provincie di Romagna;1996;;;;;61-81
articolo in volume miscellaneo;Pini, Antonio Ivan;;"Federico II, lo Studio di Bologna e il ""Falso teodosiano''";;;Federico II e Bologna;Bologna;Deputazione di Storia Patria per le Provincie di Romagna;1996;;;;;27-60
articolo in volume miscellaneo;Santini, Giovanni;;I giuristi di Federico II: i giuristi di scuola, gli artefici dello Stato;;;Federico II e l’Italia. Percorsi, luoghi, segni e strumenti;Roma;De Luca Editalia;1995;;;;;169-173
articolo in volume miscellaneo;Verger, Jacques;;La politica universitaria di Federico II nel contesto europeo;Toubert, Pierre - Paravicini Bagliani, Agostino;a cura di ;Federico II, vol. III. Federico II e le città italiane;Palermo;Sellerio;1994;;;;;129-143
articolo in volume miscellaneo;Romano, Andrea;;Federico II e lo Studium generale di Napoli;;;Federico II e l’Italia. Percorsi, luoghi, segni e strumenti;Roma;De Luca Editalia;1995;;;;;149-155
monografia;;;;Bianchi, Ernesto;;Fictio iuris. Ricerche sulla finzione in diritto romano dal periodo arcaico all'epoca augustea;Padova;Cedam;1997;;;;;516
articolo in volume miscellaneo;D'Alessandro, Vincenzo;;La storia medievale nella Università di Palermo dopo l'Unità: l'insegnamento e la ricerca;Cacciatore, Giuseppe - Martirano, Maurizio - Massimilla, Edoardo;a cura di;Filosofia e storia della cultura. Studi in onore di Fulvio Tessitore, vol. II. L'età contemporanea;Napoli;Morano;1997;;;;;131-150
articolo in volume miscellaneo;Rao, Anna Maria;;Università e politica: un progetto di riforma borbonico del 1799;Cacciatore, Giuseppe - Martirano, Maurizio - Massimilla, Edoardo;a cura di;Filosofia e storia della cultura. Studi in onore di Fulvio Tessitore, vol. I. Dall'antico al moderno;Napoli;Morano;1997;;;;;517-527
articolo in volume miscellaneo;Moscati, Laura;;Savigny a Napoli ;Cacciatore, Giuseppe - Martirano, Maurizio - Massimilla, Edoardo;a cura di;Filosofia e storia della cultura. Studi in onore di Fulvio Tessitore, vol. II. L'età contemporanea;Napoli;Morano;1997;;;;;491-508
articolo in volume miscellaneo;Tabarroni, Andrea;;Nuovi testi di logica e di teologia in un codice palermitano;Bianchi, Luca;a cura di;Filosofia e teologia nel Trecento. Studi in ricordo di Eugenio Randi;Louvain-la-Neuve;Fédération internationale des instituts d'études médiévales;1994;;;;;337-366
poligrafia;;;;Bianchi, Luca;a cura di;Filosofia e teologia nel Trecento. Studi in ricordo di Eugenio Randi;Louvain-la-Neuve;Fédération internationale des instituts d'études médiévales;1994;;;;;575
articolo in volume miscellaneo;Busti, Laurina;;L'Università lucchese;;;Fine di uno Stato: il Ducato di Lucca (1817-1847). Convegno, Lucca, villa Bottini, 9-11 ottobre 1997, vol. IV. La cultura, parte seconda;Lucca;Istituto Storico Lucchese;2000;;;;;155-204
poligrafia;;;;Costa, Carla - Falcone, Paolo - Filippone, Mariarosa - Grigoletti, Graziella - Porrata, Geronima - Sanseverino, Maria ;a cura di;Florilegium. Dai libri illustrati di botanica della Biblioteca Universitaria di Genova;Genova;C.D.S.;1995;;;;;70
articolo in volume miscellaneo;Magliani, Mirella ;;Stampatori veneti del Tasso;Borsetto, Luciana - Da Rif, Bianca Maria;a cura di;Formazione e fortuna del Tasso nella cultura della Serenissima. Atti del convegno di studi nel IV centenario della morte di Torquato Tasso (1595-1995), Padova-Venezia, 10-11 novembre 1995;Venezia;Istituto Veneto di Scienze, Lettere ed Arti;1997;;;;;121-139
poligrafia;;;;Borsetto, Luciana - Da Rif, Bianca Maria;a cura di;Formazione e fortuna del Tasso nella cultura della Serenissima. Atti del convegno di studi nel IV centenario della morte di Torquato Tasso (1595-1995), Padova-Venezia, 10-11 novembre 1995;Venezia;Istituto Veneto di Scienze, Lettere ed Arti;1997;;;;;322
articolo in volume miscellaneo;Brambilla, Elena;;Genealogie del sapere. Per una storia delle professioni giuridiche nell'Italia padana, secoli XIV-XVI;Guarducci, Annalisa;a cura di;Forme ed evoluzione del lavoro in Europa. XIII Settimana dell’Istituto internazionale di storia economica “Francesco Datini” di Prato;Firenze;Le Monnier;1994;;;;;733-786
articolo in volume miscellaneo;Potestà, Gian Luca;;Maestri e dottrine nel XIII secolo;Alberzoni, Maria Pia;a cura di;Francesco d’Assisi e il primo secolo di storia francescana;Torino;Einaudi;1997;;;;;307-336
articolo in volume miscellaneo;Berti, Enrico;;Galileo di fronte alla tradizione aristotelica;;;Galileo a Padova 1592-1610, vol. IV. Tribute to Galileo in Padua. International symposium, Padova, 2-6 Dicembre 1992;Trieste;Lint;1995;;;;;131-147
articolo in volume miscellaneo;Cozzi, Gaetano;;La politica culturale della Repubblica di Venezia e l’Università di Padova;;;Galileo a Padova 1592-1610, vol. IV. Tribute to Galileo in Padua. International symposium, Padova, 2-6 Dicembre 1992;Trieste;Lint;1995;;;;;51-68
